app_name,count,min,mean,Quartile1,median,Quartile3,std,max
Amazon Mobile (Mobile App),830,30.0888,120.08206084337348,49.33845,86.6943,168.7203,84.82853925897282,358.8732
Amazon Music with Prime Music (Mobile App),126,32.2812,147.70919999999998,53.97839999999999,98.0343,210.8295,122.79829577653398,477.7164
Facebook (Mobile App),1910,30.618000000000002,2421.228929842932,926.4874500000001,2307.0852,3681.78615,1683.6947260524576,5995.2312
Facebook Messenger (Mobile App),1912,30.618000000000002,1396.553956380753,428.6898,1172.6883,2101.0846500000002,1138.9054914517321,4386.312
Google Play (Mobile App),1844,30.0132,127.6553454989154,53.51535,86.2407,162.72899999999998,109.9660160307511,601.7382
Google Search (Mobile App),1747,30.0132,345.808226101889,106.2747,219.7314,432.5265,365.273922872049,1990.3968
GroupMe (Mobile App),92,30.5424,131.11258695652174,57.6828,102.9672,190.40805,86.11582229177144,329.994
Instagram (Mobile App),1092,30.0132,465.3683653846154,111.48165,252.44729999999998,728.8407,447.5613405158783,1724.3226
Kindle (Mobile App),129,30.9204,344.9012651162791,51.2568,168.399,482.895,397.40826967593586,1641.2382
Microsoft Word (Mobile App),36,30.6558,50.13225,34.93665,45.5679,56.4165,18.736311334571706,103.2318
Netflix (Mobile App),433,30.429000000000002,457.9155727482679,79.4934,207.5598,608.769,538.4049905043707,2393.0802
Outlook (Mobile App),211,30.1266,195.71890521327015,69.8733,129.6162,300.132,152.75853217105657,586.0512
Pinterest (Mobile App),534,30.3156,212.69847640449436,86.13675,134.0577,316.28204999999997,173.61729152153038,727.9524
Sam's Club (Mobile App),2,42.0714,50.084999999999994,46.078199999999995,50.084999999999994,54.0918,11.332941803433037,58.0986
Sam's Club Scan & Go (Mobile App),7,33.641999999999996,42.487199999999994,37.4598,38.367,43.3566,10.284680053360924,63.7686
Snapchat (Mobile App),824,30.1266,361.06867354368933,113.54175000000001,214.515,537.6861,323.1350915549579,1252.7676
Tumblr (Mobile App),150,30.3156,537.850908,159.25140000000002,302.3055,733.3011,552.3466035739995,2255.2236
Walmart (Mobile App),303,30.051,71.27327227722773,40.2381,61.614,93.2715,36.32029901289064,160.2342
Yahoo Mail (Mobile App),396,30.429000000000002,248.26199999999997,99.55574999999999,177.9435,376.4124,185.2113959151649,724.2858
Yahoo Newsroom (Mobile App),45,30.0888,132.17148,58.023,99.225,179.5878,105.41108346253814,432.0918
YouTube (Mobile App),1754,30.0888,519.8122169897377,110.29095000000001,262.7667,714.99645,574.0119426368054,2497.5216
